"","name","code","cities","locations","count"
"1","Andorra","AD",2,3,16690
"2","Argentina","AR",1,4,14976
"3","Australia","AU",18,99,3438906
"4","Austria","AT",16,306,1521351
"5","Bahrain","BH",1,1,14842
"6","Bangladesh","BD",1,2,16582
"7","Belgium","BE",14,191,1283795
"8","Bosnia and Herzegovina","BA",8,17,718542
"9","Brazil","BR",72,119,2812094
"10","Canada","CA",11,165,2179669
"11","Chile","CL",138,113,4351688
"12","China","CN",21,74,571092
"13","Colombia","CO",1,1,15387
"14","Croatia","HR",16,49,263389
"15","Czech Republic","CZ",15,200,1366464
"16","Denmark","DK",7,25,188959
"17","Ethiopia","ET",1,2,21542
"18","Finland","FI",35,107,596246
"19","France","FR",134,1171,6829224
"20","Germany","DE",36,1026,7164775
"21","Ghana","GH",1,11,1595
"22","Gibraltar","GI",2,6,36481
"23","Hong Kong","HK",9,16,89527
"24","Hungary","HU",14,50,487894
"25","India","IN",62,171,7276387
"26","Indonesia","ID",2,3,37670
"27","Ireland","IE",12,27,91363
"28","Israel","IL",14,137,63952121
"29","Italy","IT",45,104,592167
"30","Kosovo","XK",1,1,14901
"31","Kuwait","KW",1,1,7313
"32","Latvia","LV",4,4,36697
"33","Lithuania","LT",8,17,102901
"34","Luxembourg","LU",3,7,74637
"35","Macedonia, the Former Yugoslav Republic of","MK",16,30,348867
"36","Malta","MT",4,4,47374
"37","Mexico","MX",5,95,1829842
"38","Mongolia","MN",25,40,2153647
"39","Nepal","NP",1,4,26597
"40","Netherlands","NL",68,112,5205323
"41","Nigeria","NG",1,1,2541
"42","Norway","NO",32,70,1163184
"43","Peru","PE",1,20,439618
"44","Philippines","PH",1,1,958
"45","Poland","PL",10,16,547921
"46","Portugal","PT",15,64,204134
"47","Russian Federation","RU",1,49,187117
"48","Serbia","RS",4,5,16227
"49","Singapore","SG",1,1,1275
"50","Slovakia","SK",8,38,394080
"51","Slovenia","SI",8,8,27555
"52","South Africa","ZA",1,11,196819
"53","Spain","ES",115,1066,8290113
"54","Sri Lanka","LK",1,1,2756
"55","Sweden","SE",3,13,204872
"56","Switzerland","CH",14,25,274803
"57","Taiwan, Province of China","TW",30,77,2938513
"58","Thailand","TH",33,64,2711309
"59","Turkey","TR",40,142,3944744
"60","Uganda","UG",1,1,7342
"61","United Arab Emirates","AE",1,1,1239
"62","United Kingdom","GB",112,162,5350164
"63","United States","US",750,1949,28197285
"64","Viet Nam","VN",2,3,34475
