
Factor Contributions (avg = 1) from Base Run #8 (Convergent Run)

,,Factor 1,Factor 2,Factor 3
8,04/26/18,2.064900E+000,1.422000E-001,6.830700E-001
8,04/27/18,1.374200E+000,-1.997600E-001,8.109800E-001
8,04/28/18,3.469200E-001,2.622200E+000,2.315300E+000
8,04/29/18,1.014400E+000,4.624900E-001,1.391800E-001
8,04/30/18,5.789200E-001,9.333900E-001,1.671300E+000
8,05/02/18,8.890100E-001,7.531400E-001,4.764400E-001
8,05/03/18,1.050300E+000,2.669600E-001,2.788300E-001
8,05/04/18,6.251500E-001,7.203700E-001,-3.596100E-002
8,05/05/18,8.572900E-001,7.263300E-001,1.569000E-001
8,05/06/18,1.202300E+000,2.486500E-001,2.766600E-001
8,05/07/18,1.001000E+000,2.453600E-001,4.676800E-001
8,05/08/18,2.351600E+000,1.130500E-001,3.045100E-001
8,05/09/18,1.566000E+000,4.793000E-001,2.713900E+000
8,05/12/18,2.469700E-001,2.037200E+000,1.146100E+000
8,05/13/18,3.967700E-001,1.015300E+000,2.129900E+000
8,05/15/18,3.506900E-001,3.020400E+000,1.549900E+000
8,05/16/18,4.936700E-001,1.323900E+000,3.296100E-001
8,05/17/18,9.068200E-001,3.912300E-001,7.757200E-001
8,05/18/18,1.275800E+000,1.217800E+000,1.696100E-001
8,05/19/18,1.663400E+000,3.115500E-001,1.714800E-001
8,05/20/18,1.808700E+000,7.347100E-001,-1.999900E-001
8,05/21/18,1.972900E+000,2.109300E-004,4.826800E-001
8,05/22/18,7.027300E-001,1.579700E+000,1.287800E-001
8,05/23/18,9.137100E-001,2.717700E+000,7.381900E-001
8,05/24/18,1.220600E+000,1.806500E+000,2.377800E+000
8,05/25/18,1.159300E+000,1.175700E+000,4.508000E-001
8,05/26/18,1.173200E-001,1.274200E+000,2.755800E+000
8,05/27/18,-2.000000E-001,1.908300E+000,4.685800E+000
