
Factor Profiles (conc. of species) from Base Run #8 (Convergent Run)

,,Factor 1,Factor 2,Factor 3
8,SO4,8.976900E+000,2.241700E+000,1.104400E+000
8,NO3,6.592600E-001,3.911500E-001,2.371200E-001
8,Cl,3.204300E-001,8.532000E-001,7.344000E-001
8,Na,5.374200E-001,5.123200E-001,2.735600E+000
8,NH4,1.062800E+000,1.206300E-001,6.138900E-002
8,K,2.180500E-001,2.488100E+000,3.886200E-001
8,Ca,5.467600E+000,1.136600E+000,2.046900E+001
8,OC,3.656100E+000,1.180000E+000,2.982300E-001
8,EC,6.660800E-003,1.603500E+000,2.175800E+000
8,Si,5.943800E+000,9.153900E-001,1.998500E+001
8,Sb,1.404000E+000,0.000000E+000,7.262700E+000
8,Fe,2.730600E-001,9.766200E-001,5.019300E-001
8,Zn,4.709300E-001,7.855900E-001,8.029500E-001
8,Mg,4.090600E-001,9.347100E-001,6.137900E-001
8,Al,4.604900E-001,6.333400E-001,1.465700E+000
8,PM25,2.873000E+001,8.799600E+001,5.346700E+001

Factor Profiles (% of species sum) from Base Run #8 (Convergent Run)

,,Factor 1,Factor 2,Factor 3
8,SO4,7.284671E+001,1.819119E+001,8.962104E+000
8,NO3,5.120347E+001,3.037988E+001,1.841666E+001
8,Cl,1.679376E+001,4.471628E+001,3.848996E+001
8,Na,1.419740E+001,1.353432E+001,7.226828E+001
8,NH4,8.537788E+001,9.690565E+000,4.931561E+000
8,K,7.045758E+000,8.039693E+001,1.255731E+001
8,Ca,2.019562E+001,4.198248E+000,7.560613E+001
8,OC,7.120890E+001,2.298255E+001,5.808547E+000
8,EC,1.759342E-001,4.235385E+001,5.747022E+001
8,Si,2.214185E+001,3.410012E+000,7.444814E+001
8,Sb,1.619994E+001,0.000000E+000,8.380006E+001
8,Fe,1.558909E+001,5.575556E+001,2.865535E+001
8,Zn,2.286656E+001,3.814525E+001,3.898819E+001
8,Mg,2.089642E+001,4.774873E+001,3.135485E+001
8,Al,1.799119E+001,2.474439E+001,5.726442E+001
8,PM25,1.688083E+001,5.170366E+001,3.141551E+001

Factor Profiles (% of factor total) from Base Run #8 (Convergent Run)

,,Factor 1,Factor 2,Factor 3
8,SO4,1.531984E+001,2.181303E+000,9.834055E-001
8,NO3,1.125083E+000,3.806114E-001,2.111419E-001
8,Cl,5.468410E-001,8.302127E-001,6.539415E-001
8,Na,9.171528E-001,4.985168E-001,2.435896E+000
8,NH4,1.813758E+000,1.173799E-001,5.466342E-002
8,K,3.721208E-001,2.421064E+000,3.460440E-001
8,Ca,9.330923E+000,1.105977E+000,1.822648E+001
8,OC,6.239445E+000,1.148208E+000,2.655569E-001
8,EC,1.136722E-002,1.560298E+000,1.937426E+000
8,Si,1.014360E+001,8.907271E-001,1.779551E+001
8,Sb,2.396045E+000,0.000000E+000,6.467021E+000
8,Fe,4.660001E-001,9.503074E-001,4.469402E-001
8,Zn,8.036820E-001,7.644243E-001,7.149814E-001
8,Mg,6.980956E-001,9.095266E-001,5.465451E-001
8,Al,7.858652E-001,6.162763E-001,1.305123E+000
8,PM25,4.903018E+001,8.562517E+001,4.760933E+001
