**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 8

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
SO4,  8.97690,  7.59170,  7.61988,  9.21670,  9.67915,  9.81280,  8.77318,  1.02493,  0.11682,  0.11417
NO3,  0.65926,  0.54837,  0.55058,  0.67722,  0.72637,  0.73508,  0.64682,  0.08618,  0.13324,  0.13072
Cl,  0.32043,  0.24336,  0.24489,  0.32943,  0.38296,  0.38417,  0.31685,  0.06583,  0.20776,  0.20544
Na,  0.53742,  0.36638,  0.37245,  0.49262,  0.50496,  0.54667,  0.45607,  0.07198,  0.15782,  0.13393
NH4,  1.06280,  0.90551,  0.90872,  1.09085,  1.13333,  1.14950,  1.03622,  0.11287,  0.10892,  0.10620
K,  0.21805,  0.05688,  0.05994,  0.23305,  0.52727,  0.52868,  0.28032,  0.22135,  0.78965,  1.01515
Ca,  5.46760,  3.92680,  3.95260,  5.07370,  5.18253,  5.58790,  4.73230,  0.66761,  0.14108,  0.12210
OC,  3.65610,  3.07450,  3.08598,  3.75570,  3.99288,  4.04770,  3.58658,  0.44719,  0.12468,  0.12231
EC,  0.00666,  0.00000,  0.00000,  0.00121,  0.01172,  0.02306,  0.00567,  0.00792,  1.39691,  1.18904
Si,  5.94380,  4.44760,  4.47580,  5.48430,  5.61103,  6.09190,  5.20389,  0.63480,  0.12199,  0.10680
Sb,  1.40400,  0.76648,  0.78135,  1.36400,  1.37565,  1.41550,  1.14499,  0.30462,  0.26604,  0.21696
Fe,  0.27306,  0.19068,  0.19231,  0.28237,  0.37154,  0.37233,  0.28180,  0.08485,  0.30111,  0.31074
Zn,  0.47093,  0.37756,  0.37946,  0.48329,  0.52686,  0.52847,  0.45902,  0.07128,  0.15529,  0.15137
Mg,  0.40906,  0.31206,  0.31398,  0.42125,  0.49899,  0.50114,  0.40937,  0.08813,  0.21528,  0.21544
Al,  0.46049,  0.39185,  0.39329,  0.42901,  0.44486,  0.47764,  0.42380,  0.03063,  0.07227,  0.06652
PM25, 28.73000, 20.90400, 21.05775, 29.64050, 37.03150, 37.13200, 29.15540,  7.58393,  0.26012,  0.26397

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
SO4,  2.24170,  1.37880,  1.38068,  1.82540,  3.97043,  3.98640,  2.50804,  1.28785,  0.51349,  0.57450
NO3,  0.39115,  0.33311,  0.36924,  0.38174,  0.49963,  0.50063,  0.42039,  0.06973,  0.16586,  0.17826
Cl,  0.85320,  0.83989,  0.84409,  0.84916,  1.00705,  1.00970,  0.91017,  0.08405,  0.09235,  0.09851
Na,  0.51232,  0.48527,  0.48623,  0.51319,  1.16323,  1.16610,  0.76177,  0.34444,  0.45216,  0.67232
NH4,  0.12063,  0.00000,  0.00000,  0.06957,  0.33536,  0.33746,  0.14855,  0.16516,  1.11180,  1.36915
K,  2.48810,  2.37950,  2.38230,  2.48695,  2.56748,  2.58300,  2.47887,  0.08949,  0.03610,  0.03597
Ca,  1.13660,  0.99710,  1.33003,  1.39755,  5.81778,  5.83400,  3.09251,  2.33543,  0.75519,  2.05475
OC,  1.18000,  0.78914,  0.79024,  1.00696,  1.87523,  1.88150,  1.26926,  0.53521,  0.42167,  0.45357
EC,  1.60350,  1.38380,  1.38743,  1.62795,  2.17848,  2.18240,  1.75199,  0.37951,  0.21662,  0.23668
Si,  0.91539,  0.71822,  1.20692,  1.30945,  5.40685,  5.42220,  2.84256,  2.20200,  0.77465,  2.40553
Sb,  0.00000,  0.00000,  0.00000,  0.00000,  1.72853,  1.73380,  0.68866,  0.88912,  1.29108,  0.00000
Fe,  0.97662,  0.95964,  0.96065,  0.97038,  1.07565,  1.08030,  1.00904,  0.05860,  0.05808,  0.06000
Zn,  0.78559,  0.75853,  0.80328,  0.81004,  0.93791,  0.94008,  0.85366,  0.07472,  0.08752,  0.09511
Mg,  0.93471,  0.91084,  0.94210,  0.94569,  1.04555,  1.04960,  0.98127,  0.05718,  0.05827,  0.06117
Al,  0.63334,  0.61913,  0.63504,  0.63656,  0.96049,  0.96260,  0.76397,  0.16933,  0.22164,  0.26735
PM25, 87.99600, 86.62700, 87.06575, 87.58200, 98.56150, 98.94300, 91.76580,  5.94659,  0.06480,  0.06758

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
SO4,  1.10440,  0.72543,  0.72784,  1.10615,  1.25835,  1.45280,  1.03237,  0.27888,  0.27014,  0.25252
NO3,  0.23712,  0.18142,  0.19066,  0.23672,  0.23766,  0.25849,  0.21976,  0.02801,  0.12747,  0.11814
