
Factor Contributions (avg = 1) from Base Run #3 (Convergent Run)

,,Factor 1,Factor 2,Factor 3
3,04/26/18,7.861500E-002,1.996100E+000,1.991300E-001
3,04/27/18,1.363200E-001,1.366700E+000,-2.000000E-001
3,04/28/18,7.928900E-002,7.759500E-001,2.191800E+000
3,04/29/18,-2.413200E-002,9.910000E-001,4.444400E-001
3,04/30/18,1.389100E-001,7.881600E-001,8.058500E-001
3,05/02/18,-2.253500E-002,9.226200E-001,7.999800E-001
3,05/03/18,1.705600E-002,1.025700E+000,2.420600E-001
3,05/04/18,-8.115400E-002,6.142100E-001,7.449900E-001
3,05/05/18,-5.295900E-002,8.335500E-001,7.376800E-001
3,05/06/18,5.986900E-003,1.145400E+000,3.200400E-001
3,05/07/18,2.762500E-002,9.932000E-001,3.106600E-001
3,05/08/18,1.981400E-002,2.140600E+000,2.676200E-001
3,05/09/18,3.078400E-001,1.854800E+000,3.065500E-001
3,05/11/18,8.598100E+000,-1.999700E-001,1.104500E+000
3,05/12/18,-4.330800E-002,4.808000E-001,1.841800E+000
3,05/13/18,1.677600E-001,6.697700E-001,9.135800E-001
3,05/14/18,2.067300E+001,-1.198800E-001,1.280900E+000
3,05/15/18,-1.144200E-001,6.644800E-001,2.931000E+000
3,05/16/18,-9.920300E-002,5.408700E-001,1.344300E+000
3,05/17/18,5.216100E-002,9.570100E-001,4.177500E-001
3,05/18/18,-9.361400E-002,1.266200E+000,1.146600E+000
3,05/19/18,-1.232700E-002,1.522700E+000,4.046500E-001
3,05/20/18,-1.056500E-001,1.551300E+000,8.678000E-001
3,05/21/18,5.676700E-002,1.883400E+000,1.109400E-001
3,05/22/18,-1.554900E-001,7.301500E-001,1.636100E+000
3,05/23/18,-1.994000E-001,1.043500E+000,2.767900E+000
3,05/24/18,1.152300E-001,1.435900E+000,1.841900E+000
3,05/25/18,-7.278000E-002,1.167500E+000,1.261100E+000
3,05/26/18,2.125100E-001,4.582700E-001,1.206900E+000
3,05/27/18,4.250900E-001,4.353400E-001,1.717600E+000
