
Factor Profiles (conc. of species) from Base Run #3 (Convergent Run)

,,Factor 1,Factor 2,Factor 3
3,SO4,1.166100E+000,9.611300E+000,1.872900E+000
3,NO3,0.000000E+000,7.285200E-001,4.967700E-001
3,Cl,5.387700E+000,2.807300E-001,1.481500E+000
3,Na,2.136800E+001,4.692500E-001,2.719400E+000
3,NH4,7.907900E-002,1.140600E+000,7.926900E-004
3,K,6.339900E+000,0.000000E+000,2.994800E+000
3,Ca,1.597700E+002,5.116400E+000,1.782600E+001
3,OC,6.107600E-001,4.265700E+000,6.654100E-001
3,EC,3.938100E+000,4.163000E-002,2.909400E+000
3,Si,1.516900E+002,5.777000E+000,1.672800E+001
3,Sb,4.883100E+001,1.347700E+000,5.459800E+000
3,Fe,1.209100E-001,4.503900E-001,1.387200E+000
3,Zn,6.819700E+000,4.206800E-001,1.457900E+000
3,Mg,5.001500E+000,3.690400E-001,1.428000E+000
3,Al,1.237000E+001,3.870000E-001,1.877700E+000
3,PM25,4.652100E+002,2.261200E+001,1.370900E+002

Factor Profiles (% of species sum) from Base Run #3 (Convergent Run)

,,Factor 1,Factor 2,Factor 3
3,SO4,9.217963E+000,7.597685E+001,1.480518E+001
3,NO3,0.000000E+000,5.945694E+001,4.054306E+001
3,Cl,7.535319E+001,3.926332E+000,2.072048E+001
3,Na,8.701513E+001,1.910888E+000,1.107399E+001
3,NH4,6.479380E+000,9.345567E+001,6.494948E-002
3,K,6.791756E+001,0.000000E+000,3.208244E+001
3,Ca,8.744344E+001,2.800248E+000,9.756316E+000
3,OC,1.102083E+001,7.697221E+001,1.200696E+001
3,EC,5.716397E+001,6.042853E-001,4.223175E+001
3,Si,8.708057E+001,3.316398E+000,9.603031E+000
3,Sb,8.776477E+001,2.422244E+000,9.812989E+000
3,Fe,6.173602E+000,2.299668E+001,7.082972E+001
3,Zn,7.840285E+001,4.836359E+000,1.676078E+001
3,Mg,7.356727E+001,5.428224E+000,2.100451E+001
3,Al,8.452514E+001,2.644400E+000,1.283046E+001
3,PM25,7.444408E+001,3.618429E+000,2.193749E+001

Factor Profiles (% of factor total) from Base Run #3 (Convergent Run)

,,Factor 1,Factor 2,Factor 3
3,SO4,1.312137E-001,1.812839E+001,9.536366E-001
3,NO3,0.000000E+000,1.374101E+000,2.529436E-001
3,Cl,6.062432E-001,5.295000E-001,7.543449E-001
3,Na,2.404403E+000,8.850778E-001,1.384654E+000
3,NH4,8.898251E-003,2.151347E+000,4.036191E-004
3,K,7.133881E-001,0.000000E+000,1.524882E+000
3,Ca,1.797789E+001,9.650318E+000,9.076579E+000
3,OC,6.872489E-002,8.045767E+000,3.388111E-001
3,EC,4.431290E-001,7.852059E-002,1.481398E+000
3,Si,1.706870E+001,1.089631E+001,8.517504E+000
3,Sb,5.494638E+000,2.541970E+000,2.780002E+000
3,Fe,1.360522E-002,8.495049E-001,7.063296E-001
3,Zn,7.673770E-001,7.934673E-001,7.423283E-001
3,Mg,5.627866E-001,6.960663E-001,7.271039E-001
3,Al,1.391917E+000,7.299416E-001,9.560806E-001
3,PM25,5.234709E+001,4.264972E+001,6.980300E+001
