**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 3

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
SO4,  1.16610,  0.76364,  0.76880,  0.84986,  1.13580,  1.17330,  0.93532,  0.18841,  0.20144,  0.16157
NO3,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.01137,  0.00114,  0.00360,  3.16204,  0.00000
Cl,  5.38770,  5.20660,  5.23325,  5.41590,  5.53808,  5.56050,  5.40711,  0.14054,  0.02599,  0.02609
Na, 21.36800, 20.55100, 20.72525, 21.43900, 21.72600, 21.81200, 21.30610,  0.49135,  0.02306,  0.02299
NH4,  0.07908,  0.01207,  0.01226,  0.02602,  0.07654,  0.07952,  0.04104,  0.03196,  0.77889,  0.40420
K,  6.33990,  6.12980,  6.24065,  6.42960,  6.64530,  6.67300,  6.43702,  0.21127,  0.03282,  0.03332
Ca,159.77000,153.39000,154.95750,160.29500,162.12500,162.76000,159.12100,  3.59816,  0.02261,  0.02252
OC,  0.61076,  0.41544,  0.42065,  0.45639,  0.59510,  0.61449,  0.49916,  0.09011,  0.18052,  0.14753
EC,  3.93810,  3.80940,  3.91065,  4.03770,  4.21898,  4.23750,  4.05092,  0.16900,  0.04172,  0.04291
Si,151.69000,145.57000,147.11750,152.19000,153.85000,154.46000,151.03300,  3.40184,  0.02252,  0.02243
Sb, 48.83100, 46.89000, 47.35425, 48.98950, 49.55825, 49.74300, 48.63310,  1.10184,  0.02266,  0.02256
Fe,  0.12091,  0.11871,  0.12043,  0.20347,  0.21561,  0.21676,  0.17509,  0.04771,  0.27248,  0.39457
Zn,  6.81970,  6.58910,  6.61528,  6.84230,  6.96965,  6.99810,  6.82111,  0.16599,  0.02433,  0.02434
Mg,  5.00150,  4.83330,  4.85773,  5.02765,  5.13910,  5.15990,  5.01855,  0.12985,  0.02587,  0.02596
Al, 12.37000, 11.91400, 11.99850, 12.41100, 12.59725, 12.64800, 12.34620,  0.28939,  0.02344,  0.02339
PM25,465.21000,449.63000,452.46750,468.08000,479.14000,481.05000,467.44100, 12.42126,  0.02657,  0.02670

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
SO4,  9.61130,  6.96560,  6.97620,  8.41015,  9.61553,  9.65520,  8.32201,  1.36106,  0.16355,  0.14161
NO3,  0.72852,  0.45550,  0.45769,  0.57577,  0.72468,  0.72852,  0.58821,  0.13022,  0.22137,  0.17874
Cl,  0.28073,  0.28016,  0.36663,  0.59389,  0.71684,  0.77252,  0.55561,  0.17894,  0.32207,  0.63742
Na,  0.46925,  0.46715,  1.13866,  2.40440,  2.43663,  2.93770,  1.95208,  0.87431,  0.44789,  1.86321
NH4,  1.14060,  0.85810,  0.85871,  1.00856,  1.14045,  1.17110,  1.00447,  0.14956,  0.14890,  0.13113
K,  0.00000,  0.00000,  0.07295,  0.23713,  0.33458,  0.58017,  0.24083,  0.18949,  0.78683,  0.00000
Ca,  5.11640,  5.09890, 10.01135, 19.60500, 19.84950, 24.11800, 16.24973,  6.62317,  0.40759,  1.29450
OC,  4.26570,  3.13150,  3.13548,  3.75380,  4.28240,  4.29350,  3.71772,  0.59149,  0.15910,  0.13866
EC,  0.04163,  0.00000,  0.00000,  0.00006,  0.11999,  0.40171,  0.08401,  0.15647,  1.86256,  3.75848
Si,  5.77700,  5.75960, 10.27700, 19.33200, 19.62575, 23.87300, 16.25136,  6.26421,  0.38546,  1.08434
Sb,  1.34770,  1.34270,  2.88063,  5.81630,  5.90285,  7.14650,  4.77553,  2.03170,  0.42544,  1.50753
Fe,  0.45039,  0.10791,  0.11107,  0.20728,  0.45179,  0.45812,  0.26717,  0.16502,  0.61766,  0.36640
Zn,  0.42068,  0.41986,  0.54652,  0.87259,  0.98220,  1.09120,  0.80168,  0.24141,  0.30113,  0.57385
Mg,  0.36904,  0.36844,  0.42621,  0.62301,  0.77098,  0.82485,  0.60542,  0.16532,  0.27307,  0.44798
Al,  0.38700,  0.38572,  0.73358,  1.42615,  1.46553,  1.75540,  1.20102,  0.48409,  0.40306,  1.25087
PM25, 22.61200, 22.56500, 29.68900, 48.48700, 59.80000, 65.08900, 45.64870, 15.17981,  0.33254,  0.67132

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
SO4,  1.87290,  1.83940,  1.87335,  3.37715,  4.89113,  4.90120,  3.38047,  1.53633,  0.45447,  0.82029
NO3,  0.49677,  0.49677,  0.49910,  0.64201,  0.76682,  0.76913,  0.63484,  0.13040,  0.20541,  0.26250
Cl,  1.48150,  0.99811,  1.00938,  1.08665,  1.46425,  1.52460,  1.19328,  0.21884,  0.18339,  0.14771
Na,  2.71940,  0.32190,  0.41346,  0.92020,  2.63848,  2.71940,  1.32289,  1.05148,  0.79484,  0.38666
NH4,  0.00079,  0.00051,  0.00110,  0.16747,  0.34749,  0.34834,  0.17341,  0.17839,  1.02872,225.04197
K,  2.99480,  2.43340,  2.45618,  2.59755,  2.96740,  2.99480,  2.66489,  0.23354,  0.08764,  0.07798
Ca, 17.82600,  0.18362,  0.43737,  4.52285, 17.32350, 17.84600,  7.51549,  7.84016,  1.04320,  0.43982
OC,  0.66541,  0.64483,  0.66553,  1.31489,  1.97915,  1.98270,  1.31950,  0.67427,  0.51101,  1.01332
EC,  2.90940,  2.66090,  2.66240,  2.70835,  2.89613,  2.91330,  2.75854,  0.10952,  0.03970,  0.03764
Si, 16.72800,  0.21836,  0.41118,  4.23430, 16.25100, 17.00500,  7.07318,  7.37986,  1.04336,  0.44117
Sb,  5.45980,  0.00073,  0.12785,  1.36082,  5.29208,  5.45980,  2.27567,  2.41277,  1.06025,  0.44192
Fe,  1.38720,  1.38130,  1.38575,  1.54560,  1.63083,  1.63490,  1.51558,  0.11753,  0.07754,  0.08472
Zn,  1.45790,  0.80965,  0.83643,  0.95085,  1.43623,  1.52540,  1.08314,  0.28994,  0.26768,  0.19887
Mg,  1.42800,  1.00000,  1.02258,  1.08090,  1.41203,  1.49950,  1.18002,  0.19433,  0.16469,  0.13609
Al,  1.87770,  0.55265,  0.58930,  0.86677,  1.83855,  1.88330,  1.10193,  0.58603,  0.53183,  0.31210
PM25,137.09000, 95.64300, 97.25700,103.12100,135.59750,140.47000,112.38880, 18.63349,  0.16579,  0.13592

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
SO4,  9.21796,  6.04368,  6.08401,  6.72711,  8.99431,  9.27488,  7.40057,  1.48831,  0.20111,  0.16146
NO3,  0.00000,  0.00000,  0.00000,  0.00000,  0.00002,  0.92898,  0.09290,  0.29377,  3.16203,  0.00000
Cl, 75.35319, 72.62527, 73.17384, 75.62606, 77.43595, 77.67214, 75.56104,  1.98396,  0.02626,  0.02633
Na, 87.01513, 83.61373, 84.32090, 87.21544, 88.44627, 88.73513, 86.67755,  2.02986,  0.02342,  0.02333
NH4,  6.47938,  0.99055,  1.00543,  2.13557,  6.28611,  6.51588,  3.36601,  2.62079,  0.77860,  0.40448
K, 67.91755, 65.49946, 66.84970, 68.76479, 71.16804, 71.37127, 68.89909,  2.27568,  0.03303,  0.03351
Ca, 87.44344, 83.87513, 84.73526, 87.64363, 88.71167, 89.00184, 87.00619,  2.00031,  0.02299,  0.02288
OC, 11.02083,  7.50455,  7.60147,  8.24632, 10.75798, 11.08775,  9.01550,  1.62442,  0.18018,  0.14740
EC, 57.16397, 55.17775, 56.75870, 58.58595, 61.23663, 61.41660, 58.76507,  2.46202,  0.04190,  0.04307
Si, 87.08057, 83.49202, 84.38465, 87.28057, 88.30378, 88.59274, 86.62328,  1.98283,  0.02289,  0.02277
Sb, 87.76477, 84.20323, 85.04523, 87.96518, 89.05968, 89.35452, 87.33794,  2.01342,  0.02305,  0.02294
Fe,  6.17360,  6.05945,  6.14916, 10.39968, 11.01341, 11.06647,  8.94341,  2.43821,  0.27263,  0.39494
Zn, 78.40286, 75.54942, 76.03211, 78.59258, 80.10906, 80.35655, 78.35071,  1.92876,  0.02462,  0.02460
Mg, 73.56727, 70.90797, 71.43711, 73.83748, 75.57617, 75.80467, 73.75936,  1.92750,  0.02613,  0.02620
Al, 84.52514, 81.34422, 81.91311, 84.72255, 86.05312, 86.32995, 84.27994,  2.00295,  0.02377,  0.02370
PM25, 74.44408, 71.75573, 72.37792, 74.77830, 76.64533, 76.87926, 74.73383,  2.00479,  0.02683,  0.02693

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
SO4, 75.97685, 55.12491, 55.23709, 66.57062, 76.01281, 76.50531, 65.84819, 10.75645,  0.16335,  0.14158
