Date,SO4,NO3,Fl,Cl,NO2,PO4,Na,NH4,K,Ca,TC,Si,Sb,Fe,Ba,Zn,Mg,Al,V,Ni
9/6/2017 17:00,16.58072765,-0.831983085,-0.207887446,0.164614459,-1.812019047,,,,0.273854494,0.25899768,5.260732984,,,,,,,,,
9/13/2017 17:00,10.62898917,1.86268762,-0.048500685,0.960621659,-0.956194145,,,,0.662070272,0.043010169,8.971428571,,,,,,,,,
9/20/2017 17:00,18.29529886,2.297777077,-0.435277956,-3.576631429,-1.990664453,,,,0.72720994,3.559233121,21.30714286,,,,,,,,,
9/27/2017 17:00,8.109182212,4.623879752,-0.514877367,0.531286178,0.797759278,,,0.191872957,0.442518593,1.862793151,13.45714286,,,,,,,,,
10/4/2017 17:00,11.45739907,3.983516167,-0.058989803,-4.229624537,-0.872569612,,,-1.645802415,-0.917692075,0.508924895,24.67142857,,,,,,,,,
10/11/2017 17:00,7.770155421,4.397194125,-0.420299076,-0.738292233,-0.886923755,,,-2.278732632,-1.031311115,0.848870428,10.09285714,,,,,,,,,
10/18/2017 17:00,8.159516634,8.361065393,-0.463503946,-4.956483924,-1.053565929,,,-2.608076231,-0.619935631,1.624279024,6.354761905,,,,,,,,,
10/26/2017 8:00,6.712076615,6.802812343,-0.632303057,-5.292801867,,,,-2.155911949,-0.962141688,0.080358157,20.18571429,,,,,,,,,
11/1/2017 17:00,5.15252799,3.303160905,1.593872095,,-3.18657509,0.359034076,0.892857143,0,,1.33929,9.003242874,1.339285714,0,0,0.446428571,0.446428571,0,0.446428571,0,0
11/8/2017 17:00,6.108284315,5.212729699,1.462689545,,-3.717895028,-0.54676075,0.744047619,0.248015873,,1.86012,11.61674347,0.992063492,0,0,0,0,0.248015873,0,0,0
11/15/2017 17:00,7.304926825,3.21470131,,,-3.665113309,-0.529940506,3.306878307,0.661375661,0.488342346,21.8254,10.89136371,14.55026455,0.661375661,1.322751323,0.661375661,0,1.322751323,0.661375661,0,0
11/22/2017 17:00,1.554439264,2.802642374,,,6.689240077,-0.593818364,0.694444444,0,,1.04167,9.600614439,0.347222222,0,0,0,0,0.347222222,0,0,0
11/29/2017 17:00,0.277010237,6.615946025,,,-2.377312691,0.834391038,2.579365079,1.28968254,,7.7381,11.41406383,35.57936508,0,0,1.28968254,0,1.28968254,0,0,0
12/6/2017 17:00,3.361777958,0.480028461,,,-3.127206177,1.631543125,5.505952381,3.670634921,,35.78869,10.96603516,35.6542,7.341269841,1.83531746,3.670634921,1.83531746,7.341269841,1.83531746,1.83531746,0
12/13/2017 17:00,1.058483543,2.053492377,1.910293453,,1.458675558,1.532318078,0.694444444,0,1.095670478,1.04167,9.728622632,0.694444444,0,0,0,0,0,0,0,0
12/20/2017 17:00,-0.272727718,1.887801436,1.303687248,,-2.011355684,0.024819113,0.545634921,0.545634921,0.320804455,4.91071,6.812169312,4.910714286,0,0.545634921,0.545634921,0.545634921,0.545634921,0,0.545634921,0
12/27/2017 17:00,8.150571359,2.619431799,,,-2.403187022,0.973353157,1.157407407,0,0.571597307,5.20833,7.838368322,3.472222222,0.578703704,0,0,0,0.578703704,0,0,0
1/3/2018 17:00,2.99657888,2.243349342,,,-2.11662597,0.566552296,0.496031746,0.248015873,,1.11607,6.105990783,0.992063492,0,0,0,0,0.248015873,0,0,0
1/10/2018 17:00,0.151210667,0.86869818,,,-1.674524583,0.59588491,2.579365079,1.28968254,,17.41071,5.48088411,12.8968254,1.93452381,1.28968254,1.28968254,0.64484127,1.28968254,0.64484127,0.64484127,0
1/17/2018 17:00,3.615627086,3.898697755,,,-1.91041061,2.018614368,0.496031746,0,0.937387266,0.74405,8.5552142,0.248015873,0,0,0,0,0.248015873,0,0,0
1/24/2018 17:00,-0.459174868,0.938016283,,,-2.393322077,1.446397063,0.694444444,0,,1.5625,12.25678443,1.041666667,0,0,0,0,0.347222222,0,0,0
1/31/2018 17:00,2.564031077,1.934752153,,,-2.258514102,-0.056836369,1.388888889,1.388888889,,12.5,11.49940263,9.027777778,0.694444444,0.694444444,1.388888889,0.694444444,1.388888889,0,0.694444444,0
2/7/2018 17:00,2.44561608,3.963263161,,,-2.977169541,-0.600151659,4.761904762,3.571428571,,2.67857,8.002645503,29.76190476,1.19047619,0.595238095,2.380952381,1.785714286,0.595238095,3.571428571,1.19047619,0.595238095
