Date,SO4,NO3,Fl,Cl,NO2,PO4,Na,NH4,K,Ca,TC,Si,Sb,Fe,Ba,Zn,Mg,Al,V,Ni
9/6/2017 17:00,31.0798883,-0.116453342,0.094006697,0.311844771,-0.945934109,0.506996158,,10.11750367,0.378357178,-2.279956748,10.70454545,,,,,,,,,
9/13/2017 17:00,17.85236039,-0.354337219,-0.766344784,-4.748030918,-1.766057011,,,6.259000365,0.312683328,-1.509428151,13.83095238,,,,,,,,,
9/20/2017 17:00,18.51308546,1.653540232,-0.41304996,-5.119985912,1.884863303,,,5.668469162,0.167879088,-2.008621463,23.17619048,,,,,,,,,
9/27/2017 17:00,8.35685754,-0.800781245,0.004401588,-1.875802188,-0.096825483,,,3.071940731,0.177039878,-0.307831392,15.32619048,,,,,,,,,
10/4/2017 17:00,14.69016327,5.263012324,-0.020302305,-0.40926831,-0.869524013,,,-0.86261659,-0.287927051,1.054623237,8.971428571,,,,,,,,,
10/11/2017 17:00,11.79728218,8.450487756,-0.091824116,0.865480652,1.700524312,,,-1.65570261,-0.352573653,0.950645826,20.18571429,,,,,,,,,
10/18/2017 17:00,7.474152002,3.682588869,-0.555072186,-5.831678173,-1.099104985,,,-2.541603527,-1.101878725,-2.701831209,-16.07380952,,,,,,,,,
10/26/2017 8:00,8.110225805,6.031396035,0.074058376,-3.119082453,-0.855356385,,,-1.121420054,-0.797284581,-1.232723933,-16.94020833,,,,,,,,,
11/1/2017 17:00,7.580055417,3.471097497,,0.595238095,-3.446243127,-0.331079159,0.595238095,1.109463236,0.942987968,0.595238095,10.84869432,8.333333333,0,0,0,0,0.595238095,0,0,0
11/8/2017 17:00,5.484638502,2.449521999,1.49404382,0.744047619,1.769362563,0.735454074,0.744047619,0.861533054,0.744047619,9.672619048,10.12331456,14.13690476,1.488095238,0,0.744047619,0.744047619,0.744047619,0,0.744047619,0
11/15/2017 17:00,8.74241558,3.927633766,,0.347222222,-1.775591759,-0.351538991,0.694444444,1.664375066,,1.736111111,9.4192695,7.291666667,0,0,0.347222222,0.347222222,0.347222222,0.347222222,0,0
11/22/2017 17:00,1.611137162,1.099156516,,0.347222222,-2.386887995,-0.187829487,0.694444444,0.735167437,0.38154383,4.513888889,10.75268817,6.597222222,0.694444444,0,0.347222222,0,0.347222222,0,0,0
11/29/2017 17:00,-0.970489968,1.54829838,,0,-3.291943432,1.145658088,1.388888889,0.747899848,0.717644932,2.083333333,7.604753371,7.638888889,0,0,,0,0,0,0,0
12/6/2017 17:00,7.866173893,0,,0.793650794,-3.446243127,-0.331079159,2.380952381,1.109463236,0.793650794,5.555555556,9.621949138,19.04761905,0.793650794,0.793650794,0.793650794,0.793650794,0.793650794,0,0,0
12/13/2017 17:00,0.586168219,2.623501297,,0.347222222,-3.185705482,0.097754818,0.694444444,1.586923522,0.347222222,3.125,9.003242874,7.986111111,0.347222222,0.347222222,0,,0.347222222,0,0,0
12/20/2017 17:00,1.001710202,3.613547744,,0.446428571,-3.203913345,-0.000760818,0.892857143,2.118336334,,1.339285714,10.46466974,7.589285714,0.446428571,0,0,,0,0,0,0
12/27/2017 17:00,9.582357484,5.687007395,,0,-1.471723369,-0.531904238,0.892857143,2.709733965,,1.339285714,8.437873357,5.357142857,0.892857143,0,0,0.446428571,0.446428571,0,0,0
1/3/2018 17:00,1.459300759,5.801951401,1.332530959,0,1.272386639,-0.367082874,0.446428571,0.857482085,,2.232142857,6.622290493,5.357142857,0.892857143,0,0,,0.446428571,0,0,0
1/10/2018 17:00,1.421548018,3.100375154,,0,-3.42408646,-0.112878644,0.314153439,0.761408741,0.708336208,2.827380952,8.875234682,4.712301587,0.628306878,0,0,,0.314153439,0,0,0
1/17/2018 17:00,4.635177422,4.073739631,1.265516827,0,0.287325476,0.070951409,1.388888889,2.42375675,,4.861111111,10.29399215,15.27777778,0,0.694444444,0,,0.694444444,0,0,0
1/24/2018 17:00,-0.543595979,1.026749159,,0,-0.829032685,-0.353985946,0.396825397,0.81112742,0.443801858,0.396825397,10.80602492,5.555555556,0.793650794,0,0,,0.396825397,0,0.396825397,0
1/31/2018 17:00,5.407992494,5.078650141,,0,2.950035677,0.343869124,1.339285714,1.831732688,1.160129891,4.017857143,12.50213347,30.80357143,2.678571429,0,0,,1.339285714,0,0,0
2/7/2018 17:00,5.253102854,3.258657607,,0.446428571,0.351276022,-0.328385452,0.892857143,2.483568059,0.371861599,4.017857143,10.22998805,9.375,,0,0.446428571,,0.446428571,0,0,0
