Date,PM2.5
4/30/2018 8:54,176.65
4/28/2018 8:39,310.09
4/29/2018 8:40,74.57
5/2/2018 20:08,152.04
5/14/2018 0:20,13528.32
4/26/2018 12:01,106.36
4/27/2018 7:38,67.25
5/3/2018 20:34,74.64
5/4/2018 20:54,76.77
5/5/2018 20:56,89.59
5/17/2018 19:05,113.05
5/13/2018 0:17,279.39
5/6/2018 21:05,73.41
5/10/2018 23:50,3974.52
5/8/2018 23:16,95.48
5/7/2018 22:50,71.59
5/9/2018 23:34,242.94
5/23/2018 21:29,326.11
5/25/2018 21:54,168.46
5/16/2018 19:02,159.47
5/18/2018 19:26,138.78
5/20/2018 20:10,96.09
5/12/2018 0:06,276.18
5/27/2018 23:47,394.25
5/21/2018 20:21,75.38
5/22/2018 20:25,180.26
5/19/2018 19:59,95.51
5/24/2018 21:40,311.14
5/15/2018 18:40,364.65
5/26/2018 23:12,229.58
