Date,ION,conc,TSP
9/6/2017 17:00,SO4-,16.58072765,191.9720768
9/13/2017 17:00,SO4-,10.62898917,79.36507937
9/20/2017 17:00,SO4-,18.29529886,208.3333333
9/27/2017 17:00,SO4-,8.109182212,64.47773038
10/4/2017 17:00,SO4-,11.45739907,99.19650828
10/11/2017 17:00,SO4-,7.770155421,79.34933545
10/18/2017 17:00,SO4-,8.159516634,39.67073292
10/26/2017 8:00,SO4-,6.712076615,54.62988255
11/1/2017 17:00,SO4-,5.15252799,44.64285714
11/8/2017 17:00,SO4-,6.108284315,24.8015873
11/15/2017 17:00,SO4-,7.304926825,66.13756614
11/22/2017 17:00,SO4-,1.554439264,34.72222222
11/29/2017 17:00,SO4-,0.277010237,128.968254
12/6/2017 17:00,SO4-,3.361777958,183.531746
12/13/2017 17:00,SO4-,1.058483543,34.72222222
12/20/2017 17:00,SO4-,-0.272727718,54.56349206
12/27/2017 17:00,SO4-,8.150571359,57.87037037
1/3/2018 17:00,SO4-,2.99657888,24.8015873
1/10/2018 17:00,SO4-,0.151210667,64.48412698
1/17/2018 17:00,SO4-,3.615627086,24.8015873
1/24/2018 17:00,SO4-,-0.459174868,34.72222222
1/31/2018 17:00,SO4-,2.564031077,69.44444444
2/7/2018 17:00,SO4-,2.44561608,59.52380952
9/6/2017 17:00,NO3-,-0.831983085,191.9720768
9/13/2017 17:00,NO3-,1.86268762,79.36507937
9/20/2017 17:00,NO3-,2.297777077,208.3333333
9/27/2017 17:00,NO3-,4.623879752,64.47773038
10/4/2017 17:00,NO3-,3.983516167,99.19650828
10/11/2017 17:00,NO3-,4.397194125,79.34933545
10/18/2017 17:00,NO3-,8.361065393,39.67073292
10/26/2017 8:00,NO3-,6.802812343,54.62988255
11/1/2017 17:00,NO3-,3.303160905,44.64285714
11/8/2017 17:00,NO3-,5.212729699,24.8015873
11/15/2017 17:00,NO3-,3.21470131,66.13756614
11/22/2017 17:00,NO3-,2.802642374,34.72222222
11/29/2017 17:00,NO3-,6.615946025,128.968254
12/6/2017 17:00,NO3-,0.480028461,183.531746
12/13/2017 17:00,NO3-,2.053492377,34.72222222
12/20/2017 17:00,NO3-,1.887801436,54.56349206
12/27/2017 17:00,NO3-,2.619431799,57.87037037
1/3/2018 17:00,NO3-,2.243349342,24.8015873
1/10/2018 17:00,NO3-,0.86869818,64.48412698
1/17/2018 17:00,NO3-,3.898697755,24.8015873
1/24/2018 17:00,NO3-,0.938016283,34.72222222
1/31/2018 17:00,NO3-,1.934752153,69.44444444
2/7/2018 17:00,NO3-,3.963263161,59.52380952
9/6/2017 17:00,Fl-,-0.207887446,191.9720768
9/13/2017 17:00,Fl-,-0.048500685,79.36507937
9/20/2017 17:00,Fl-,-0.435277956,208.3333333
9/27/2017 17:00,Fl-,-0.514877367,64.47773038
10/4/2017 17:00,Fl-,-0.058989803,99.19650828
10/11/2017 17:00,Fl-,-0.420299076,79.34933545
10/18/2017 17:00,Fl-,-0.463503946,39.67073292
10/26/2017 8:00,Fl-,-0.632303057,54.62988255
11/1/2017 17:00,Fl-,1.593872095,44.64285714
11/8/2017 17:00,Fl-,1.462689545,24.8015873
11/15/2017 17:00,Fl-,,66.13756614
11/22/2017 17:00,Fl-,,34.72222222
11/29/2017 17:00,Fl-,,128.968254
12/6/2017 17:00,Fl-,,183.531746
12/13/2017 17:00,Fl-,1.910293453,34.72222222
12/20/2017 17:00,Fl-,1.303687248,54.56349206
12/27/2017 17:00,Fl-,,57.87037037
