Date,ION,conc,TSP
9/6/2017 17:00,SO4-,31.0798883,66.29
9/13/2017 17:00,SO4-,17.85236039,44.64
9/20/2017 17:00,SO4-,18.51308546,128.97
9/27/2017 17:00,SO4-,8.35685754,59.52
10/4/2017 17:00,SO4-,14.69016327,29.76
10/11/2017 17:00,SO4-,11.79728218,114.09
10/18/2017 17:00,SO4-,7.474152002,64.48
10/26/2017 8:00,SO4-,8.110225805,69.44
11/1/2017 17:00,SO4-,7.580055417,59.52
11/8/2017 17:00,SO4-,5.484638502,74.4
11/15/2017 17:00,SO4-,8.74241558,34.72
11/22/2017 17:00,SO4-,1.611137162,34.72
11/29/2017 17:00,SO4-,-0.970489968,69.44
12/6/2017 17:00,SO4-,7.866173893,79.37
12/13/2017 17:00,SO4-,0.586168219,34.72
12/20/2017 17:00,SO4-,1.001710202,44.64
12/27/2017 17:00,SO4-,9.582357484,44.64
1/3/2018 17:00,SO4-,1.459300759,44.64
1/10/2018 17:00,SO4-,1.421548018,31.42
1/17/2018 17:00,SO4-,4.635177422,69.44
1/24/2018 17:00,SO4-,-0.543595979,39.68
1/31/2018 17:00,SO4-,5.407992494,133.93
2/7/2018 17:00,SO4-,5.253102854,44.64
9/6/2017 17:00,NO3-,-0.116453342,66.29
9/13/2017 17:00,NO3-,-0.354337219,44.64
9/20/2017 17:00,NO3-,1.653540232,128.97
9/27/2017 17:00,NO3-,-0.800781245,59.52
10/4/2017 17:00,NO3-,5.263012324,29.76
10/11/2017 17:00,NO3-,8.450487756,114.09
10/18/2017 17:00,NO3-,3.682588869,64.48
10/26/2017 8:00,NO3-,6.031396035,69.44
11/1/2017 17:00,NO3-,3.471097497,59.52
11/8/2017 17:00,NO3-,2.449521999,74.4
11/15/2017 17:00,NO3-,3.927633766,34.72
11/22/2017 17:00,NO3-,1.099156516,34.72
11/29/2017 17:00,NO3-,1.54829838,69.44
12/6/2017 17:00,NO3-,0,79.37
12/13/2017 17:00,NO3-,2.623501297,34.72
12/20/2017 17:00,NO3-,3.613547744,44.64
12/27/2017 17:00,NO3-,5.687007395,44.64
1/3/2018 17:00,NO3-,5.801951401,44.64
1/10/2018 17:00,NO3-,3.100375154,31.42
1/17/2018 17:00,NO3-,4.073739631,69.44
1/24/2018 17:00,NO3-,1.026749159,39.68
1/31/2018 17:00,NO3-,5.078650141,133.93
2/7/2018 17:00,NO3-,3.258657607,44.64
9/6/2017 17:00,Fl-,0.094006697,66.29
9/13/2017 17:00,Fl-,-0.766344784,44.64
9/20/2017 17:00,Fl-,-0.41304996,128.97
9/27/2017 17:00,Fl-,0.004401588,59.52
10/4/2017 17:00,Fl-,-0.020302305,29.76
10/11/2017 17:00,Fl-,-0.091824116,114.09
10/18/2017 17:00,Fl-,-0.555072186,64.48
10/26/2017 8:00,Fl-,0.074058376,69.44
11/1/2017 17:00,Fl-,,59.52
11/8/2017 17:00,Fl-,1.49404382,74.4
11/15/2017 17:00,Fl-,,34.72
11/22/2017 17:00,Fl-,,34.72
11/29/2017 17:00,Fl-,,69.44
12/6/2017 17:00,Fl-,,79.37
12/13/2017 17:00,Fl-,,34.72
12/20/2017 17:00,Fl-,,44.64
12/27/2017 17:00,Fl-,,44.64
1/3/2018 17:00,Fl-,1.332530959,44.64
1/10/2018 17:00,Fl-,,31.42
1/17/2018 17:00,Fl-,1.265516827,69.44
1/24/2018 17:00,Fl-,,39.68
1/31/2018 17:00,Fl-,,133.93
2/7/2018 17:00,Fl-,,44.64
9/6/2017 17:00,Cl-,0.311844771,66.29
9/13/2017 17:00,Cl-,-4.748030918,44.64
9/20/2017 17:00,Cl-,-5.119985912,128.97
9/27/2017 17:00,Cl-,-1.875802188,59.52
10/4/2017 17:00,Cl-,-0.40926831,29.76
10/11/2017 17:00,Cl-,0.865480652,114.09
10/18/2017 17:00,Cl-,-5.831678173,64.48
10/26/2017 8:00,Cl-,-3.119082453,69.44
11/1/2017 17:00,Cl-,,59.52
11/8/2017 17:00,Cl-,,74.4
11/15/2017 17:00,Cl-,,34.72
11/22/2017 17:00,Cl-,,34.72
11/29/2017 17:00,Cl-,,69.44
12/6/2017 17:00,Cl-,,79.37
12/13/2017 17:00,Cl-,,34.72
12/20/2017 17:00,Cl-,,44.64
12/27/2017 17:00,Cl-,,44.64
1/3/2018 17:00,Cl-,,44.64
1/10/2018 17:00,Cl-,,31.42
1/17/2018 17:00,Cl-,,69.44
1/24/2018 17:00,Cl-,,39.68
1/31/2018 17:00,Cl-,,133.93
2/7/2018 17:00,Cl-,,44.64
9/6/2017 17:00,NO2-,-0.945934109,66.29
